ID,FECHA,GESTION,MES,DIA,TIPO_DE_ENTIDAD,EXPRESADO,ENTIDIDAD,COEFICIENTE_DE_ADECUACION_PATRIMONIAL
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCJN,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CJN,0.1888
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCSM,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CSM,0.118
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCFA,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CFA,0.177
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCME,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CME,0.1152
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCSP,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CSP,0.3607
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCLY,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CLY,0.3877
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCCA,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CCA,0.2146
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCSA,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CSA,0.283
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCPX,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CPX,0.2238
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCIH,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CIH,0.279
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCQC,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CQC,0.2027
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCJP,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CJP,0.223
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCTR,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CTR,0.1961
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCCM,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CCM,0.1537
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCSR,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CSR,0.1678
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCST,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CST,0.213
2014131COPERATIVAS_DE_AHORRO_Y_CREDITOCCR,41670,2014,1,31,COPERATIVAS_DE_AHORRO_Y_CREDITO,EXPRESADO EN PORCENTAJE,CCR,0.2322
